Size, Type, Time
250000, "Sequential", 0.050956
250000, "Parallel", 0.100709
250000, "Built-in", 0.055281
250000, "Sequential", 0.051020
250000, "Parallel", 0.080328
250000, "Built-in", 0.053716
250000, "Sequential", 0.053205
250000, "Parallel", 0.086785
250000, "Built-in", 0.052303
250000, "Sequential", 0.050794
250000, "Parallel", 0.094541
250000, "Built-in", 0.051754
250000, "Sequential", 0.050635
250000, "Parallel", 0.079730
250000, "Built-in", 0.053548
250000, "Sequential", 0.050856
250000, "Parallel", 0.086493
250000, "Built-in", 0.052487
250000, "Sequential", 0.050436
250000, "Parallel", 0.049161
250000, "Built-in", 0.052774
250000, "Sequential", 0.053140
250000, "Parallel", 0.121145
250000, "Built-in", 0.052072
250000, "Sequential", 0.050799
250000, "Parallel", 0.082703
250000, "Built-in", 0.051462
250000, "Sequential", 0.050590
250000, "Parallel", 0.084630
250000, "Built-in", 0.053626
250000, "Sequential", 0.053615
250000, "Parallel", 0.080245
250000, "Built-in", 0.052061
250000, "Sequential", 0.051589
250000, "Parallel", 0.078518
250000, "Built-in", 0.053824
250000, "Sequential", 0.055446
250000, "Parallel", 0.097954
250000, "Built-in", 0.221082
250000, "Sequential", 0.224536
250000, "Parallel", 0.252016
250000, "Built-in", 0.224696
250000, "Sequential", 0.215454
250000, "Parallel", 0.243959
250000, "Built-in", 0.222560
250000, "Sequential", 0.217755
250000, "Parallel", 0.204079
250000, "Built-in", 0.220809
250000, "Sequential", 0.214370
250000, "Parallel", 0.237130
250000, "Built-in", 0.222876
250000, "Sequential", 0.220055
250000, "Parallel", 0.228221
250000, "Built-in", 0.220244
250000, "Sequential", 0.213712
250000, "Parallel", 0.230484
250000, "Built-in", 0.221195
250000, "Sequential", 0.219039
250000, "Parallel", 0.207345
250000, "Built-in", 0.227608
250000, "Sequential", 0.220713
250000, "Parallel", 0.213348
250000, "Built-in", 0.221656
250000, "Sequential", 0.220861
250000, "Parallel", 0.225738
250000, "Built-in", 0.111356
250000, "Sequential", 0.052257
250000, "Parallel", 0.087903
250000, "Built-in", 0.052014
250000, "Sequential", 0.051246
250000, "Parallel", 0.087548
250000, "Built-in", 0.052469
250000, "Sequential", 0.050878
250000, "Parallel", 0.118320
